date,series,value,unit,source,status,n_active,dispnums
1901-03-11,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-03-11,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-03-18,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-03-18,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-03-25,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-03-25,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-04-01,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-04-01,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-04-08,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-04-08,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-04-15,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-04-15,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-04-22,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-04-22,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-04-29,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-04-29,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-05-06,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-05-06,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-05-13,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-05-13,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-05-20,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-05-20,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-05-27,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-05-27,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-06-03,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-06-03,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-06-10,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-06-10,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-06-17,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-06-17,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-06-24,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-06-24,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-07-01,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-07-01,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-07-08,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-07-08,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-07-15,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-07-15,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-07-22,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-07-22,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-07-29,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-07-29,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-08-05,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-08-05,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-08-12,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-08-12,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-08-19,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-08-19,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
