product_id,name,mechanism,subcategory,material,price,width_in,depth_in,height_in,features,url,first_seen,last_seen
5360325,Rannis Manual Rocker Recliner,rocker,Recliners,unknown,449.99,35 in.,40 in.,38 in.,,https://www.ashleyfurniture.com/p/rannis_recliner/5360325.html,2026-07-19T11:24:42,2026-08-18T08:53:53
U600004018,Relax-A-Lounger Corey Manual Recliner,standard,Recliners,unknown,229.99,26 in.,36.2 in.,39.4 in.,,https://www.ashleyfurniture.com/p/relax-a-lounger_corey_manual_recliner/U600004018.html,2026-07-19T13:17:13,2026-08-21T08:47:03
U600004020,Relax-A-Lounger Eileen Manual Recliner,standard,Recliners,unknown,379.99,37.4 in.,31.8 in.,39.4 in.,,https://www.ashleyfurniture.com/p/relax-a-lounger_eileen_manual_recliner/U600004020.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600004022,Relax-A-Lounger Landon Manual Recliner,standard,Recliners,unknown,234.99,33.7 in.,26.1 in.,37.4 in.,,https://www.ashleyfurniture.com/p/relax-a-lounger_landon_manual_recliner/U600004022.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600004024,Relax-A-Lounger Maitland Manual Recliner,standard,Recliners,unknown,179.99,25.98 in.,31.5 in.,40 in.,,https://www.ashleyfurniture.com/p/relax-a-lounger_maitland_manual_recliner/U600004024.html,2026-07-19T11:24:42,2026-08-18T08:53:53
U600004029,Relax-A-Lounger Wilson Manual Recliner,standard,Recliners,unknown,179.99,25.98 in.,31.5 in.,40 in.,,https://www.ashleyfurniture.com/p/relax-a-lounger_wilson_manual_recliner/U600004029.html,2026-07-19T11:24:42,2026-08-21T08:47:03
4640261,Riptyme Manual Swivel Glider Recliner,glider,Recliners,unknown,599.99,32 in.,42 in.,41 in.,,https://www.ashleyfurniture.com/p/riptyme_swivel_glider_recliner/4640261.html,2026-07-19T11:24:42,2026-08-21T08:47:03
1610213,Schooner Rocks Dual Power Recliner,standard,Living Room Reclining Furniture,unknown,699.99,37 in.,41 in.,43 in.,,https://www.ashleyfurniture.com/p/schooner_rocks_power_recliner/1610213.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6650225,Scranto Manual Recliner,standard,Recliners,unknown,399.99,37 in.,40 in.,41 in.,,https://www.ashleyfurniture.com/p/scranto_recliner/6650225.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012469,Second Story Home Lottie Manual Glider Recliner,glider,Nursery Gliders,unknown,383.99,40.1 in.,38.9 in.,41.7 in.,,https://www.ashleyfurniture.com/p/second_story_home_lottie_manual_glider_recliner/B600012469.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5590261,Shadsburne Manual Swivel Glider Recliner,glider,Recliners,unknown,699.99,42 in.,40 in.,39 in.,,https://www.ashleyfurniture.com/p/shadsburne_swivel_glider_recliner/5590261.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U6260613,Silverbrooke Dual Power Leather Recliner,standard,Recliners,leather,1199.99,45 in.,43 in.,42 in.,,https://www.ashleyfurniture.com/p/silverbrooke_power_recliner/U6260613.html,2026-07-19T11:24:42,2026-08-18T08:53:53
2420325,SimpleJoy Manual Recliner,standard,Recliners,unknown,389.99,40 in.,42 in.,40 in.,,https://www.ashleyfurniture.com/p/simplejoy_recliner/2420325.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5300425,Skymaker Manual Rocker Recliner,rocker,Recliners,unknown,549.99,38 in.,38 in.,41 in.,,https://www.ashleyfurniture.com/p/skymaker_recliner/5300425.html,2026-07-19T11:24:42,2026-08-21T08:47:03
1760912,Snowfield Dual Power Lift Recliner,lift,Recliners,unknown,899.99,34 in.,40 in.,44 in.,,https://www.ashleyfurniture.com/p/snowfield_power_lift_recliner/1760912.html,2026-07-19T11:24:42,2026-08-21T08:47:03
9370412,Starganza Next-Gen Nuvella™ Performance Fabric Power Lift Recliner,lift,Recliners,performance,749.99,35 in.,44 in.,43 in.,,https://www.ashleyfurniture.com/p/starganza_power_lift_recliner/9370412.html,2026-07-18T23:07:25,2026-08-21T08:47:03
6320413,Stately Check Dual Power Recliner,standard,Recliners,unknown,1099.99,40 in.,39 in.,43 in.,,https://www.ashleyfurniture.com/p/stately_check_power_recliner/6320413.html,2026-07-18T23:07:25,2026-08-21T08:47:03
3990525,Stoneland Manual Rocker Recliner,rocker,Recliners,unknown,799.99,43 in.,41 in.,42 in.,,https://www.ashleyfurniture.com/p/stoneland_recliner/3990525.html,2026-07-19T11:24:42,2026-08-21T08:47:03
3990598,Stoneland Power Recliner,standard,Recliners,unknown,899.99,43 in.,41 in.,42 in.,,https://www.ashleyfurniture.com/p/stoneland_power_recliner/3990598.html,2026-07-19T10:47:01,2026-08-21T08:47:03
5950525,Stonemeade Manual Rocker Recliner,rocker,Recliners,unknown,429.99,33 in.,39 in.,42 in.,,https://www.ashleyfurniture.com/p/stonemeade_recliner/5950525.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011075,Storkcraft Serenity Wingback Upholstered Recliner Glider with USB,glider,Nursery Gliders,unknown,449.99,32.88 in.,34.62 in.,38.5 in.,,https://www.ashleyfurniture.com/p/storkcraft_serenity_wingback_upholstered_recline_glider_with_usb/B600011075.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011886,Storkcraft Timeless Manual Charging Glider Recliner,glider,Nursery Gliders,unknown,549.99,29.5 in.,37.13 in.,38.25 in.,,https://www.ashleyfurniture.com/p/storkcraft_timeless_manual_charging_glider_recliner/B600011886.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011073,Storkcraft Timeless Recliner Glider with USB,glider,Nursery Gliders,unknown,449.99,29.5 in.,37.13 in.,38.25 in.,,https://www.ashleyfurniture.com/p/storkcraft_timeless_recline_glider_with_usb/B600011073.html,2026-07-19T13:17:13,2026-08-21T08:47:03
2920325,Storrow Manual Recliner,standard,Recliners,unknown,479.99,35 in.,40 in.,38 in.,,https://www.ashleyfurniture.com/p/storrow_recliner/2920325.html,2026-07-18T23:07:25,2026-08-17T08:12:28
6390912,Strawbill Power Lift Recliner,lift,Recliners,unknown,849.99,33 in.,42 in.,42 in.,,https://www.ashleyfurniture.com/p/strawbill_power_lift_recliner/6390912.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6530725,Streamlight Manual Recliner,standard,Recliners,unknown,699.99,44 in.,43 in.,42 in.,,https://www.ashleyfurniture.com/p/streamlight_recliner/6530725.html,2026-07-19T10:47:01,2026-07-19T10:47:01
6530825,Streamlight Manual Recliner,standard,Recliners,unknown,699.99,44 in.,43 in.,42 in.,,https://www.ashleyfurniture.com/p/streamlight_recliner/6530825.html,2026-07-19T11:24:42,2026-08-21T08:47:03
2780125,Tambo Manual Recliner,standard,Recliners,unknown,599.99,41 in.,41 in.,41 in.,,https://www.ashleyfurniture.com/p/tambo_recliner/2780125.html,2026-07-19T11:24:42,2026-08-21T08:47:03
9140525,Tarrant Manual Recliner,standard,Recliners,unknown,599.99,41 in.,40 in.,40 in.,,https://www.ashleyfurniture.com/p/tarrant_recliner/9140525.html,2026-07-19T11:24:42,2026-08-21T08:47:03
4280406,Technique Power Recliner,standard,Recliners,unknown,799.99,45 in.,44 in.,48 in.,,https://www.ashleyfurniture.com/p/technique_power_recliner/4280406.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600001388,Thayer Manual Recliner,standard,Recliners,unknown,374.99,28.5 in.,34 in.,38 in.,,https://www.ashleyfurniture.com/p/madison_park_hoffman_push_back_recliner/U600001388.html,2026-07-19T11:24:42,2026-08-21T08:47:03
9490261,Tie-Breaker Manual Swivel Glider Recliner,glider,Recliners,unknown,749.99,41.38 in.,40.25 in.,39.75 in.,,https://www.ashleyfurniture.com/p/tie-breaker_swivel_glider_recliner/9490261.html,2026-07-19T11:24:42,2026-08-18T08:53:53
9180282,Time-Piece Dual Power Recliner,standard,Recliners,unknown,1099.99,50 in.,42 in.,42 in.,,https://www.ashleyfurniture.com/p/time-piece_power_recliner/9180282.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600003975,Titan 4D Vibe  Massage Chair,standard,Recliners,unknown,3299.0,30.1 in.,64 in.,45.6 in.,,https://www.ashleyfurniture.com/p/titan_4d_vibe__massage_chair/U600003975.html,2026-07-19T11:24:42,2026-08-18T08:53:53
9270525,Top Tier Oversized Manual Rocker Recliner,rocker,Recliners,unknown,699.99,50 in.,40 in.,41 in.,,https://www.ashleyfurniture.com/p/top_tier_recliner/9270525.html,2026-07-19T10:47:01,2026-07-19T10:47:01
9270625,Top Tier Oversized Manual Rocker Recliner,rocker,Recliners,unknown,699.99,50 in.,40 in.,41 in.,,https://www.ashleyfurniture.com/p/top_tier_recliner/9270625.html,2026-07-19T10:47:01,2026-08-21T08:47:03
U8281513,Trasimeno Dual Power Leather Recliner,standard,Clearance Furniture,leather,750.0,40 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/trasimeno_power_recliner/U8281513.html,2026-07-19T20:17:17,2026-07-19T20:17:17
