product_id,name,mechanism,subcategory,material,price,width_in,depth_in,height_in,brand,color,url
U10330S7,VonKurt Power Leather Reclining Modular Loveseat with Console,standard,Motion sofas,leather,1399.98,86,39,42,Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/vonkurt_2-piece_power_reclining_loveseat_sectional_with_console/U10330S7.html
U1240018,Malcesine Dual Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,2299.99,79.63,41.5,42.38,Signature Design by Ashley®,Sahara,https://www.ashleyfurniture.com/p/malcesine_power_reclining_loveseat_with_console/U1240018.html
APK-U716043P,Dunleith 3-Piece Dual Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,1599.98,99,40,43,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/dunleith_3-piece_power_reclining_loveseat_with_console/APK-U716043P.html
U12300S3,Arrington 3-Piece Dual Power Leather Reclining Modular Loveseat with Console,standard,Motion sofas,leather,2299.98,97,40,42,Ashley®,Butternut,https://www.ashleyfurniture.com/p/arrington_3-piece_power_reclining_sectional_with_console/U12300S3.html
4980218,Forest Lake Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Loveseat with Console,standard,Motion sofas,performance,1599.99,75,40,42,Signature Design by Ashley®,Steel,https://www.ashleyfurniture.com/p/forest_lake_power_reclining_loveseat_with_console/4980218.html
U6450618,Beadel Dual Power Reclining Leather Loveseat with Console,standard,Motion sofas,leather,2099.99,79,44,43,Signature Design by Ashley®,Smoke,https://www.ashleyfurniture.com/p/beadel_power_reclining_loveseat_with_console/U6450618.html
APK-U942023R,Correze 3-Piece Dual Power Leather Reclining Modular Loveseat with Console,standard,Motion sofas,leather,2299.98,88.5,41,33.25,Signature Design by Ashley®,Gray,https://www.ashleyfurniture.com/p/correze_3-piece_power_reclining_sectional_loveseat/APK-U942023R.html
55203S5,Samperstone 2-Piece Power Reclining Modular Loveseat,standard,Motion sofas,leather,1399.98,82,38,41,Signature Design by Ashley®,Gray,https://www.ashleyfurniture.com/p/samperstone_2-piece_power_reclining_sectional_loveseat/55203S5.html
APK-55203-S3,Samperstone 3-Piece Power Reclining Modular Loveseat,standard,Motion sofas,leather,1499.98,96,38,41,Signature Design by Ashley®,Gray,https://www.ashleyfurniture.com/p/samperstone_3-piece_power_reclining_sectional_loveseat/APK-55203-S3.html
7620494,Mitchiner Manual Reclining Loveseat with Console,standard,Motion sofas,fabric,899.99,77,40,42,Signature Design by Ashley®,Fog,https://www.ashleyfurniture.com/p/mitchiner_reclining_loveseat_with_console/7620494.html
U4380874-Master,Leesworth Power Leather Reclining Loveseat,standard,Motion sofas,leather,1099.99,65,41,41,Signature Design by Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/leesworth_power_reclining_loveseat/U4380874.html
7650494-Master,Draycoll Manual Reclining Loveseat with Console,standard,Motion sofas,fabric,799.99,78,40,40,Signature Design by Ashley®,Slate,https://www.ashleyfurniture.com/p/draycoll_reclining_loveseat_with_console/7650494.html
3320196-Master,Barnsana Power Reclining Loveseat with Console,standard,Motion sofas,fabric,799.99,75,41,40,Signature Design by Ashley®,Ash,https://www.ashleyfurniture.com/p/barnsana_power_reclining_loveseat_with_console/3320196.html
93605S16-Master,Acklen Place 2-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Loveseat,standard,Motion sofas,performance,1199.98,84,42,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/acklen_place_2-piece_power_reclining_sectional_loveseat/93605S16.html
5930218-Master,Next-Gen DuraPella Performance Fabric Dual Power Reclining Loveseat with Console,standard,Motion sofas,leather,1699.99,76,42,42,Signature Design by Ashley®,Sand,https://www.ashleyfurniture.com/p/next-gen_durapella_power_reclining_loveseat_with_console/5930218.html
3990494-Master,Stoneland Manual Reclining Loveseat with Console,standard,Motion sofas,leather,899.99,82,41,42,Signature Design by Ashley®,Fossil,https://www.ashleyfurniture.com/p/stoneland_reclining_loveseat_with_console/3990594.html
U10700S1-Master,Rally-Up 2-Piece Dual Power Leather Reclining Modular Loveseat,standard,Motion sofas,leather,2599.98,84,40,34,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/rally-up_2-piece_power_reclining_sectional_loveseat/U10700S1.html
7650496-Master,Draycoll Power Reclining Loveseat with Console,standard,Motion sofas,fabric,999.99,78,40,40,Signature Design by Ashley®,Slate,https://www.ashleyfurniture.com/p/draycoll_power_reclining_loveseat_with_console/7650496.html
U1200018-Master,Beryton Dual Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,1699.99,75,41,43,Signature Design by Ashley®,Espresso,https://www.ashleyfurniture.com/p/beryton_power_reclining_loveseat_with_console/U1200118.html
U1160218A-Master,Dreamer Dual Power Leather Reclining Loveseat with Audio Seating,standard,Motion sofas,leather,2899.99,74.5,40.5,44.5,Signature Design by Ashley®,Brown,https://www.ashleyfurniture.com/p/dreamer_power_reclining_loveseat_with_audio_seating/U1160218A.html
2140596-Master,Greely Bend Power Reclining Loveseat with Console,standard,Motion sofas,fabric,899.99,75,40,41,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/greely_bend_power_reclining_loveseat_with_console/2140696.html
U62606S21-Master,Silverbrooke 2-Piece Leather Dual Power Reclining Modular Loveseat,standard,Motion sofas,leather,1999.98,94,40,43,Signature Design by Ashley®,Canyon,https://www.ashleyfurniture.com/p/silverbrooke_2-piece_reclining_loveseat/U62607S21.html
APK-U71604S2-Master,Dunleith 2-Piece Dual Power Leather Reclining Loveseat,standard,Motion sofas,leather,1399.98,86,40,43,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/dunleith_2-piece_power_reclining_sectional_loveseat/APK-U71604S2.html
U2710415-Master,Boyington Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,1899.99,86,40,44.5,Ashley®,Caramel,https://www.ashleyfurniture.com/p/boyington_power_reclining_sofa/U2710415.html
6330689-Master,Lavenhorne Manual Reclining Sofa with Drop Down Table,standard,Motion sofas,leather,799.99,87,42,43,Signature Design by Ashley®,Umber,https://www.ashleyfurniture.com/p/lavenhorne_reclining_sofa_with_drop_down_table/6330689.html
2820188-Master,Alphons Manual Reclining Sofa,standard,Motion sofas,fabric,799.99,93,41,41,Signature Design by Ashley®,Briar,https://www.ashleyfurniture.com/p/alphons_reclining_sofa/2820288.html
3810488,Foreside Next-Gen Nuvella™ Performance Fabric Manual Reclining Sofa,standard,Motion sofas,performance,799.94,87,43,44,Signature Design by Ashley®,Charcoal,https://www.ashleyfurniture.com/p/foreside_reclining_sofa/3810488.html
3660215-Master,Fyne-Dyme Dual Power Reclining Sofa,standard,Motion sofas,leather,1699.99,85,43,43,Signature Design by Ashley®,Shadow,https://www.ashleyfurniture.com/p/fyne-dyme_power_reclining_sofa/3660215.html
4280499-Master,Technique Power Reclining Sofa with Drop Down Table,standard,Motion sofas,fabric,1199.99,91,44,48,Signature Design by Ashley®,Onyx,https://www.ashleyfurniture.com/p/technique_power_reclining_sofa_with_drop_down_table/4280599.html
U6260647-Master,Silverbrooke Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,1899.99,92,43,42,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/silverbrooke_power_reclining_sofa/U6260647.html
2140599-Master,Greely Bend Power Reclining Sofa with Drop Down Table,standard,Motion sofas,fabric,899.99,85,40,41,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/greely_bend_power_reclining_sofa_with_drop_down_table/2140699.html
U1090015-Master,5Z-Relaxation Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,1999.99,89,41,43,Signature Design by Ashley®,Coin,https://www.ashleyfurniture.com/p/5z-relaxation_power_reclining_sofa/U1090015.html
U1200015-Master,Beryton Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,1699.99,85,41,43,Signature Design by Ashley®,Espresso,https://www.ashleyfurniture.com/p/beryton_power_reclining_sofa/U1200115.html
U13001S5,Double Deal 3-Piece Dual Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,2599.98,115,41,42.5,Signature Design by Ashley®,Almond,https://www.ashleyfurniture.com/p/double_deal_3-piece_power_reclining_sofa_sectional/U13001S5.html
8350415-Master,Ultimax Dual Power Reclining Sofa,standard,Motion sofas,leather,1399.99,87,43,41,Signature Design by Ashley®,Shadow,https://www.ashleyfurniture.com/p/ultimax_power_reclining_sofa/8350515.html
65906S1-Master,ModMax II 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sofa,standard,Motion sofas,performance,1799.97,118,42,42,Signature Design by Ashley®,Salt and Pepper,https://www.ashleyfurniture.com/p/modmax_ii_3-piece_power_reclining_sectional/65906S1.html
9180247,Time-Piece Dual Power Reclining Sofa,standard,Motion sofas,leather,1099.99,82,42,42,Signature Design by Ashley®,Earth,https://www.ashleyfurniture.com/p/time-piece_power_reclining_sofa/9180247.html
U2550115,Alessandro Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,1599.99,95,40,41,Signature Design by Ashley®,Garnet,https://www.ashleyfurniture.com/p/alessandro_power_reclining_sofa/U2550115.html
U62606S4-Master,Silverbrooke 3-Piece Leather Dual Power Reclining Modular Sectional with Chaise and Console,standard,Motion sofas,leather,2499.98,107,64,43,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/silverbrooke_3-piece_power_reclining_sectional_with_chaise/U62606S4.html
U600002594,Enouvation E10 Wireless Power Pack for Recliners (App Included),standard,Motion sofas,unknown,439.0,6.5,4.5,2,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e10_power_pack/U600002594.html
A600030310,Enouvation E6 Wireless Power Pack for Reclining Furniture with 2 Power Seats,standard,Motion sofas,unknown,309.0,5,2,5,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e6_6_motor_power_pack_bundle_1_e6_power_pack_2_e_extension_cables_1_y_splitter/A600030310.html
U600003585,Enouvation E5 Power Pack 3 Seat Bundle,standard,Motion sofas,unknown,369.0,78.7,0.25,0.25,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e5_power_pack_3_seat_bundle/U600003585.html
