retailer,brand,sku,product,variant,form,material,price,list_price,discount_pct,available,peer_n,price_pctile,role,tees_up_n,tees_up_brands,cheaper_competitors
slumberland,La-Z-Boy,QK1100590,Liam Power Lift Recliner,Mushroom,Recliner,Unspecified,1099.99,2249.99,51.1,Y,172,63.4,Mid-ladder,10,Southern Motion(5); Franklin(1); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),109
slumberland,La-Z-Boy,QK1096561,Pinnacle Leather Rocker Recliner,Stone,Recliner,Leather,1099.99,1699.0,35.3,Y,172,63.4,Mid-ladder,10,Southern Motion(5); Franklin(1); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),109
slumberland,La-Z-Boy,QK1096562,Pinnacle Leather Rocker Recliner,Umber,Recliner,Leather,1099.99,1699.0,35.3,Y,172,63.4,Mid-ladder,10,Southern Motion(5); Franklin(1); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),109
slumberland,La-Z-Boy,QK1064403,Trouper Reclining Console Loveseat,Sable,Loveseat,Unspecified,1999.99,3099.99,35.5,Y,174,71.8,Mid-ladder,10,Southern Motion(4); Flexsteel(2); Man-Wah Cheers(2); Ashley(1); Franklin(1),125
slumberland,La-Z-Boy,QK1064412,Trouper Reclining Console Loveseat,Mink,Loveseat,Unspecified,1999.99,3099.99,35.5,Y,174,71.8,Mid-ladder,10,Southern Motion(4); Flexsteel(2); Man-Wah Cheers(2); Ashley(1); Franklin(1),125
slumberland,La-Z-Boy,QK1015065,Randell Rocker Recliner,Mocha,Recliner,Unspecified,1099.99,1599.99,31.3,Y,172,63.4,Mid-ladder,10,Southern Motion(5); Franklin(1); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),109
slumberland,La-Z-Boy,QK1015066,Randell Rocker Recliner,Storm,Recliner,Unspecified,1099.99,1599.99,31.3,Y,172,63.4,Mid-ladder,10,Southern Motion(5); Franklin(1); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),109
slumberland,La-Z-Boy,QK1034223,James Leather Rocker Recliner,Charcoal,Recliner,Leather,1099.99,1879.99,41.5,Y,172,63.4,Mid-ladder,10,Southern Motion(5); Franklin(1); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),109
slumberland,La-Z-Boy,4452162,James Leather Rocker Recliner,Walnut,Recliner,Leather,1099.99,1879.99,41.5,Y,172,63.4,Mid-ladder,10,Southern Motion(5); Franklin(1); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),109
slumberland,La-Z-Boy,QK1064439,Morrison Reclining Sofa,Marble,Sofa,Unspecified,1299.99,2199.99,40.9,Y,187,52.4,Mid-ladder,10,Dimensions by England(4); Ashley(2); Franklin(1); Southern Motion(1); Kuka Home(1); Stone & Leigh Upholstery(1),98
slumberland,La-Z-Boy,QK1064445,Morrison Reclining Sofa,Graphite,Sofa,Unspecified,1299.99,2199.99,40.9,Y,187,52.4,Mid-ladder,10,Dimensions by England(4); Ashley(2); Franklin(1); Southern Motion(1); Kuka Home(1); Stone & Leigh Upholstery(1),98
slumberland,La-Z-Boy,QK1098746,Ava 3 Piece Sectional,Oyster,Sectional,Unspecified,3399.99,4949.98,31.3,Y,182,84.1,Premium anchor,9,Man-Wah Cheers(3); Dimensions by England(3); Leather Italia USA(2); Stone & Leigh Upholstery(1),153
slumberland,La-Z-Boy,QK1096559,Pinnacle Tri-Power Leather Rocker Recliner,Stone,Recliner,Leather,1749.99,2899.0,39.6,Y,172,82.6,Premium anchor,9,Southern Motion(5); Flexsteel(2); Ultra Comfort(2),142
slumberland,La-Z-Boy,QK1096560,Pinnacle Tri-Power Leather Rocker Recliner,Umber,Recliner,Leather,1749.99,2899.0,39.6,Y,172,82.6,Premium anchor,9,Southern Motion(5); Flexsteel(2); Ultra Comfort(2),142
