zip,store_id,store_address,county,geo,whole_milk,milk_2pct,milk_1pct,milk_fatfree,pct_black,pct_white,pct_hisp,median_income,population,class_I_diff_cwt
29730,6962|585,1225 Cherry Rd,Chester,rural,3.32,,,,38.8,51.0,4.8,57488.0,56727,5.8
29732,4593,4875 Old York Rd,York,urban,3.32,,,,20.0,67.8,6.7,77601.0,57182,5.6
29745,1144,"970 E Liberty St, York, SC 29745",York,rural,3.82,,,,14.6,76.0,4.5,73416.0,34352,5.6
29801,4487,3581 Richland Ave W,Aiken,rural,2.67,,,,42.6,49.1,5.7,52973.0,30148,6.0
29803,514,2035 Whiskey Rd,Aiken,rural,2.67,,,,17.5,72.7,4.1,77868.0,38849,6.0
29812,795,"11391 Dunbarton Blvd, Barnwell, SC 29812",Allendale,rural,3.86,,,,40.2,52.7,3.2,42038.0,10773,6.0
29841,1270,1201 Knox Ave,Aiken,urban,2.67,,,,19.4,70.2,6.3,64079.0,32505,6.0
29860,6576,1041 Edgefield Rd,Aiken,rural,2.67,,,,15.8,74.3,5.3,88591.0,17149,6.0
29906,1383,350 Robert Smalls Pkwy,Beaufort,rural,3.86,,,,36.3,48.0,12.7,60041.0,25772,6.0
29907,7181,265 Sea Island Parkway,Beaufort,rural,3.86,,,,12.1,78.2,4.0,85203.0,14580,6.0
29910,6395,"4 Bluffton Rd, Bluffton, SC 29910",Beaufort,rural,3.38,,,,6.8,71.9,17.2,92421.0,47927,6.0
29926,728,"25 Pembroke Dr, Hilton Head Island, SC 29926",Beaufort,rural,3.86,,,,9.8,69.7,17.7,95090.0,25384,6.0
29927,2832,"4400 Us Highway 278, Hardeeville, SC 29927",Beaufort,rural,3.86,,,,29.9,40.2,26.7,69635.0,10297,6.0
