state,zip,store_id,store_address,county,geo,whole_milk,milk_2pct,milk_1pct,milk_fatfree,pct_black,pct_white,pct_hisp,median_income,population,class_I_diff_cwt
GA,30316,3709,2427 Gresham Rd Se,DeKalb,urban,3.06,3.06,3.06,3.06,46.1,38.8,7.0,91135.0,33773,5.8
GA,30318,3775,1801 Howell Mill Rd Nw,Fulton,urban,3.28,,,,51.2,33.8,5.9,69640.0,59559,5.8
GA,30331,3741,1105 Research Center Atlanta Drive Sw,Fulton,urban,3.28,3.28,3.28,3.28,94.5,1.2,1.7,60748.0,64295,5.8
GA,30338,2360,4725 Ashford Dunwoody Rd,DeKalb,urban,3.06,,,,11.0,62.9,3.8,123125.0,39098,5.8
GA,30341,3621,"1871 Chamblee Tucker Rd, Chamblee, GA 30341",DeKalb,urban,3.08,3.08,3.08,3.08,17.8,43.0,26.3,75104.0,32582,5.8
GA,30344,6998,"844 Cleveland Ave, East Point, GA 30344",Fulton,urban,3.28,3.28,3.28,3.28,73.9,13.1,9.3,58710.0,35302,5.8
GA,30349,3401,"6149 Old National Hwy, College Park, GA 30349",Clayton,urban,3.28,,,,88.8,3.4,4.2,58713.0,78431,5.8
GA,30354,5010,1030 Delta Blvd,Clayton,urban,3.28,,,,63.4,12.2,18.0,51424.0,15002,5.8
GA,30360,3070,5025 Winters Chapel Rd,DeKalb,urban,3.06,3.06,3.06,3.06,9.8,41.7,38.0,88875.0,15644,5.8
GA,30401,1024,"414 S Main St, Swainsboro, GA 30401",Emanuel,rural,3.82,3.82,3.82,3.82,37.0,50.9,7.1,49292.0,14060,6.0
GA,30458,2858|754,349 Brampton Ave,Bulloch,rural,2.92,2.92,2.92,2.92,35.1,54.0,5.0,46451.0,47707,6.0
GA,30474,864,"3109 E 1st St, Vidalia, GA 30474",Emanuel,rural,4.0,4.0,4.0,4.0,27.5,57.0,8.5,51580.0,16976,6.0
GA,30501,2699,1435 Thompson Bridge Rd,Hall,urban,3.36,3.36,3.36,3.36,15.0,40.3,39.5,58777.0,31619,5.6
GA,30504,2731|510,2892 Browns Bridge Rd,Hall,urban,3.36,3.36,3.36,3.36,5.2,36.9,51.9,67046.0,28340,5.6
GA,30512,3485,"2257 Hwy 515, Blairsville, GA 30512",Fannin,rural,3.72,3.72,3.72,3.72,0.5,92.7,4.0,61169.0,23538,5.6
GA,30513,5812,"97 Commerce Drive, Blue Ridge, GA 30513",Fannin,rural,3.96,3.96,3.96,3.96,0.3,94.0,2.1,55648.0,11873,5.6
GA,30519,1314|3786,3795 Buford Dr,Gwinnett,urban,3.12,3.12,3.12,3.12,19.9,43.6,20.6,98228.0,56661,5.8
GA,30525,2753,"1455 Highway 441 S, Clayton, GA 30525",Rabun,rural,4.0,4.0,4.0,4.0,0.9,88.2,7.8,57475.0,7398,5.6
GA,30528,4616,"260 Donald E Thurmond Pkwy, Cleveland, GA 30528",Lumpkin,rural,2.22,2.22,2.22,2.22,1.6,91.1,3.4,66401.0,24108,5.6
GA,30529,3,"30983 Highway 441 S, Commerce, GA 30529",Banks,rural,4.0,4.0,4.0,4.0,12.1,73.9,9.5,62772.0,12429,5.6
GA,30531,1403,"250 Furniture Dr, Cornelia, GA 30531",Habersham,rural,4.0,4.0,4.0,4.0,4.0,62.2,28.1,54688.0,11199,5.6
GA,30533,2513,"270 Walmart Way, Dahlonega, GA 30533",Dawson,rural,4.0,4.0,4.0,4.0,0.9,89.4,5.4,65902.0,26993,5.6
