date,series,value
1885-08-28,dutch,3.7313
1885-08-28,france,3.6969
1885-09-04,dutch,3.7313
1885-09-04,france,3.6799
1885-09-11,dutch,3.7313
1885-09-11,france,3.6664
1885-09-18,dutch,3.7313
1885-09-18,france,3.6923
1885-09-25,dutch,3.7313
1885-09-25,france,3.7186
1885-10-02,dutch,3.7313
1885-10-02,france,3.7267
1885-10-09,dutch,3.7313
1885-10-09,france,3.7618
1885-10-16,dutch,3.7313
1885-10-16,france,3.7951
1885-10-23,dutch,3.6765
1885-10-23,france,3.7325
1885-10-30,dutch,3.6765
1885-10-30,france,3.7441
1885-11-06,dutch,3.6765
1885-11-06,france,3.7688
1885-11-13,dutch,3.6765
1885-11-13,france,3.7477
1885-11-20,dutch,3.6765
1885-11-20,france,3.757
1885-11-27,dutch,3.6765
1885-11-27,france,3.7594
1885-12-04,dutch,3.6765
1885-12-04,france,3.7302
1885-12-11,dutch,3.6765
1885-12-11,france,3.6957
1885-12-18,dutch,3.6232
1885-12-18,france,3.7383
1885-12-25,dutch,3.6232
1885-12-25,france,3.7465
1886-01-01,dutch,3.6232
1886-01-01,france,3.7406
1886-01-08,dutch,3.6765
1886-01-08,france,3.7048
1886-01-15,dutch,3.6765
1886-01-15,france,3.6844
1886-01-22,dutch,3.6232
1886-01-22,france,3.6866
1886-01-29,dutch,3.5714
1886-01-29,france,3.672
1886-02-05,dutch,3.5714
1886-02-05,france,3.6675
1886-02-12,dutch,3.5714
1886-02-12,france,3.6832
1886-02-19,dutch,3.5714
1886-02-19,france,3.6463
1886-02-26,dutch,3.5211
1886-02-26,france,3.6474
1886-03-05,dutch,3.4722
1886-03-05,france,3.6474
1886-03-12,dutch,3.4247
1886-03-12,france,3.6563
1886-03-19,dutch,3.4722
1886-03-19,france,3.7117
1886-03-26,dutch,3.4722
1886-03-26,france,3.7163
1886-04-02,dutch,3.4722
1886-04-02,france,3.7313
1886-04-09,dutch,3.4722
1886-04-09,france,3.7152
1886-04-16,dutch,3.4722
1886-04-16,france,3.7071
1886-04-23,dutch,3.4722
1886-04-23,france,3.7094
1886-04-30,dutch,3.4722
1886-04-30,france,3.6731
1886-05-07,dutch,3.4722
1886-05-07,france,3.6265
1886-05-14,dutch,3.4722
1886-05-14,france,3.6287
1886-05-21,dutch,3.3333
1886-05-21,france,3.6474
1886-05-28,dutch,3.3333
1886-05-28,france,3.6397
1886-06-04,dutch,3.3784
1886-06-04,france,3.6155
1886-06-11,dutch,3.3784
1886-06-11,france,3.6188
1886-06-18,dutch,3.4247
1886-06-18,france,3.6309
1886-06-25,dutch,3.4247
1886-06-25,france,3.6092
1886-07-02,dutch,3.4722
1886-07-02,france,3.6188
1886-07-09,dutch,3.4247
1886-07-09,france,3.6145
1886-07-16,dutch,3.4247
1886-07-16,france,3.6134
1886-07-23,dutch,3.3557
1886-07-23,france,3.6188
1886-07-30,dutch,3.3333
1886-07-30,france,3.6123
1886-08-06,dutch,3.3333
1886-08-06,france,3.6342
1886-08-13,dutch,3.3333
1886-08-13,france,3.621
1886-08-20,dutch,3.3784
1886-08-20,france,3.6101
1886-08-27,dutch,3.3784
1886-08-27,france,3.6298
1886-09-03,dutch,3.3784
1886-09-03,france,3.6071
1886-09-10,dutch,3.3784
1886-09-10,france,3.5907
1886-09-17,dutch,3.3333
1886-09-17,france,3.6265
1886-09-24,dutch,3.3784
1886-09-24,france,3.6342
1886-10-01,dutch,3.3784
1886-10-01,france,3.6364
1886-10-08,dutch,3.3784
1886-10-08,france,3.6166
1886-10-15,dutch,3.3784
1886-10-15,france,3.6397
1886-10-22,dutch,3.3784
1886-10-22,france,3.6353
1886-10-29,dutch,3.3784
1886-10-29,france,3.6309
1886-11-05,dutch,3.3784
1886-11-05,france,3.6309
1886-11-12,dutch,3.3784
1886-11-12,france,3.6331
1886-11-19,dutch,3.3784
1886-11-19,france,3.6232
1886-11-26,dutch,3.3784
1886-11-26,france,3.6047
1886-12-03,dutch,3.3784
1886-12-03,france,3.5832
1886-12-10,dutch,3.3784
1886-12-10,france,3.5768
1886-12-17,dutch,3.3784
1886-12-17,france,3.6199
1886-12-24,dutch,3.3784
1886-12-24,france,3.6309
1886-12-31,dutch,3.3784
1886-12-31,france,3.6452
1887-01-07,dutch,3.4722
1887-01-07,france,3.6364
1887-01-14,dutch,3.4722
1887-01-14,france,3.6496
1887-01-21,dutch,3.4722
1887-01-21,france,3.6855
1887-01-28,dutch,3.4722
1887-01-28,france,3.7418
1887-02-04,dutch,3.5211
1887-02-04,france,3.95
1887-02-11,dutch,3.5211
1887-02-11,france,3.8573
1887-02-18,dutch,3.5211
1887-02-18,france,3.84
1887-02-25,dutch,3.5211
1887-02-25,france,3.8059
1887-03-04,dutch,3.5211
1887-03-04,france,3.7477
1887-03-11,dutch,3.5211
1887-03-11,france,3.7106
1887-03-18,dutch,3.5211
1887-03-18,france,3.7129
1887-03-25,dutch,3.4722
1887-03-25,france,3.7014
1887-04-01,dutch,3.4722
1887-04-01,france,3.7014
1887-04-08,dutch,3.4722
1887-04-08,france,3.7175
1887-04-15,dutch,3.4722
1887-04-15,france,3.6923
1887-04-22,dutch,3.4722
1887-04-22,france,3.7083
1887-04-29,dutch,3.4722
1887-04-29,france,3.736
1887-05-06,dutch,3.4722
1887-05-06,france,3.7395
1887-05-13,dutch,3.4722
1887-05-13,france,3.7348
1887-05-20,dutch,3.4247
1887-05-20,france,3.7186
1887-05-27,dutch,3.4247
1887-05-27,france,3.6957
1887-06-03,dutch,3.4247
1887-06-03,france,3.6507
1887-06-10,dutch,3.4247
1887-06-10,france,3.6619
1887-06-17,dutch,3.4247
1887-06-17,france,3.7037
1887-06-24,dutch,3.4247
1887-06-24,france,3.6914
1887-07-01,dutch,3.4722
1887-07-01,france,3.7175
1887-07-08,dutch,3.4722
1887-07-08,france,3.6869
1887-07-15,dutch,3.4722
1887-07-15,france,3.6969
1887-07-22,dutch,3.4722
1887-07-22,france,3.6957
1887-07-29,dutch,3.4247
1887-07-29,france,3.6923
1887-08-05,dutch,3.4247
1887-08-05,france,3.6878
1887-08-12,dutch,3.4247
1887-08-12,france,3.6855
1887-08-19,dutch,3.4247
1887-08-19,france,3.6753
1887-08-26,dutch,3.4247
1887-08-26,france,3.663
1887-09-02,dutch,3.4247
1887-09-02,france,3.6574
1887-09-09,dutch,3.4247
1887-09-09,france,3.6474
1887-09-16,dutch,3.4247
1887-09-16,france,3.6597
1887-09-23,dutch,3.4722
1887-09-23,france,3.6765
1887-09-30,dutch,3.4722
1887-09-30,france,3.6742
1887-10-07,dutch,3.4722
1887-10-07,france,3.643
1887-10-14,dutch,3.4722
1887-10-14,france,3.6608
1887-10-21,dutch,3.4722
1887-10-21,france,3.6552
1887-10-28,dutch,3.4722
1887-10-28,france,3.6597
1887-11-04,dutch,3.4722
1887-11-04,france,3.6608
1887-11-11,dutch,3.4722
1887-11-11,france,3.7106
1887-11-18,dutch,3.4722
1887-11-18,france,3.7232
1887-11-25,dutch,3.4722
1887-11-25,france,3.672
1887-12-02,dutch,3.4247
1887-12-02,france,3.6923
1887-12-09,dutch,3.4247
1887-12-09,france,3.6353
1887-12-16,dutch,3.4247
1887-12-16,france,3.6419
1887-12-23,dutch,3.4247
1887-12-23,france,3.6889
1887-12-30,dutch,3.4247
1887-12-30,france,3.6969
1888-01-06,dutch,3.4722
1888-01-06,france,3.6878
1888-01-13,dutch,3.4247
1888-01-13,france,3.7026
1888-01-20,dutch,3.4247
1888-01-20,france,3.698
1888-01-27,dutch,3.4247
1888-01-27,france,3.6821
1888-02-03,dutch,3.4247
1888-02-03,france,3.6799
1888-02-10,dutch,3.4247
1888-02-10,france,3.6934
1888-02-17,dutch,3.4247
1888-02-17,france,3.6675
1888-02-24,dutch,3.4247
1888-02-24,france,3.6597
1888-03-02,dutch,3.4722
1888-03-02,france,3.6386
1888-03-09,dutch,3.4722
1888-03-09,france,3.6375
1888-03-16,dutch,3.4722
1888-03-16,france,3.621
1888-03-23,dutch,3.4722
1888-03-23,france,3.6541
1888-03-30,dutch,3.4722
1888-03-30,france,3.6452
1888-04-06,dutch,3.4722
1888-04-06,france,3.6641
1888-04-13,dutch,3.4722
1888-04-13,france,3.6912
1888-04-20,dutch,3.3784
1888-04-20,france,3.6866
1888-04-27,dutch,3.3333
1888-04-27,france,3.6507
1888-05-04,dutch,3.3333
1888-05-04,france,3.6519
1888-05-11,dutch,3.3333
1888-05-11,france,3.6331
1888-05-18,dutch,3.3333
1888-05-18,france,3.6331
1888-05-25,dutch,3.3333
1888-05-25,france,3.6474
1888-06-01,dutch,3.3333
1888-06-01,france,3.6298
1888-06-08,dutch,3.2895
